Ad asset report
All time
Asset status,Asset,Asset type,Campaign,Ad group,Level,Status,Status reason,Added by,Last updated,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks
Enabled,"Service catalog:Joy for mom & baby-to-be,Welcoming a littlemiracle,A celebration of life",Structured snippet,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Dec 28, 2024, 10:33 AM",162,1,0.62%,INR,2.17,2.17,1
Enabled,https://tpc.googlesyndication.com/simgad/6520204757886419514,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Oct 14, 2024, 4:28 PM","20,444",846,4.14%,INR,31.81,26911.61,846
Enabled,https://tpc.googlesyndication.com/simgad/7815757618377797602,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Jan 11, 2025, 1:29 PM","2,910",310,10.65%,INR,44.35,13749.87,310
Enabled,"Birthday Party
Birthday Party Hall Near me
Birthday Hall in Pune
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Dec 28, 2024, 10:53 AM","11,147","1,216",10.91%,INR,1.69,2051.06,"1,211"
Enabled,"Catering Services
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Dec 28, 2024, 10:53 AM","1,021",44,4.31%,INR,7.19,316.38,39
Enabled,"Service catalog:Joy for mom & baby-to-be,Welcoming a littlemiracle,A celebration of life",Structured snippet,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Feb 9, 2025, 8:08 PM",62,2,3.23%,INR,2.84,5.67,2
Enabled,"About Us
Learn More About Our
Business.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#about",Sitelink,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 12:15 PM","12,243","1,179",9.63%,INR,9.55,11259.09,"1,179"
Enabled,https://tpc.googlesyndication.com/simgad/3167267238592920751,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Oct 18, 2024, 4:24 PM","18,327",384,2.10%,INR,19.06,7317.84,384
Enabled,"Service catalog:Munj Ceremony,Thread Ceremony,Upanayan",Structured snippet,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:53 PM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/11031026358874096679,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",372,32,8.60%,INR,0.98,31.49,32
Enabled,"About Us
Learn More About Our
Business.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#about",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 11:45 AM","31,768","6,431",20.24%,INR,1.01,6501.91,"6,431"
Enabled,"Baby Shower
Cherish the joy of motherhood!
Showering love on the new arrival!
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 11:45 AM","4,052",879,21.69%,INR,1.00,878.46,879
Enabled,"About Us
Learn More About Our
Business.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#about",Sitelink, --, --,Account,Eligible,,Advertiser,"Sep 29, 2023, 10:35 AM","50,917","8,722",17.13%,INR,2.23,19475.16,"8,722"
Enabled,https://tpc.googlesyndication.com/simgad/12937815952910271096,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 12:30 PM","2,564",414,16.15%,INR,43.55,18028.31,414
Enabled,"Photo Gallery
Take a look at our
Photo Gallery.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#photos",Sitelink,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 12:15 PM","5,586","1,007",18.03%,INR,10.91,10982.39,"1,007"
Enabled,https://tpc.googlesyndication.com/simgad/5426634972995527814,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Oct 14, 2024, 4:28 PM","2,195",124,5.65%,INR,39.18,4858.79,124
Enabled,https://tpc.googlesyndication.com/simgad/3791593886183693950,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 12:30 PM",7,0,0.00%,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/6751266516318927174,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM","1,763",445,25.24%,INR,1.16,518.40,445
Enabled,https://tpc.googlesyndication.com/simgad/1074787129956620058,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",157,18,11.46%,INR,1.32,23.80,18
Enabled,"Contact & Location
Call for hall details
Easy map directions
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:19 PM",0,0, --,INR,0,0.00,0
Enabled,"Photo Gallery
Take a look at our
Photo Gallery.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#photos",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 11:45 AM","36,603","6,980",19.07%,INR,1.10,7699.06,"6,980"
Enabled,https://tpc.googlesyndication.com/simgad/18199198310584013081,Logo,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Mar 26, 2025, 2:05 PM","8,759",721,8.23%,INR,1.15,826.93,721
