"Page ID","Page name","Data comment",Date,"Estimated earnings (USD)","Estimated earnings by Video (USD)","Estimated Stars earnings (USD)","Monetisable 1-minute video views","Monetisable view RPM","Ad CPM (USD)","Unique user engagements","Overall negative feedback","Overall negative feedback: Hide all","Overall negative feedback: Hide","Overall negative feedback: Report as spam","Overall negative feedback: Unlike Page","Overall negative feedback: Click X button","Unique negative feedback from users"
1619647795010416,Shreelaxmistonedepot,,04/05/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/07/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/09/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/10/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/11/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/12/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/13/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/14/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/15/2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/16/2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/17/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/18/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/19/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/22/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/23/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/24/2025,0,0,0,0,0,0,25,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/25/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/26/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/28/2025,0,0,0,0,0,0,46,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/29/2025,0,0,0,0,0,0,27,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/30/2025,0,0,0,0,0,0,33,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/01/2025,0,0,0,0,0,0,38,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/02/2025,0,0,0,0,0,0,37,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/03/2025,0,0,0,0,0,0,22,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/04/2025,0,0,0,0,0,0,23,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/05/2025,0,0,0,0,0,0,37,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/06/2025,0,0,0,0,0,0,27,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/07/2025,0,0,0,0,0,0,5,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/10/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/11/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/13/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/15/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/17/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/18/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/19/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/22/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/23/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/24/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/25/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/26/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/28/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/29/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,05/30/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
