Ad schedule day and hour report
All time
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Friday,3,Search campaign| wedding | Munj| Dec-25,6,1,16.67%,INR,3.65,3.65,0.00%,0.00,0.00
Thursday,17,Search campaign| wedding | Munj| Dec-25,73,19,26.03%,INR,0.98,18.53,0.00%,0.00,0.00
Friday,12,Performance Max I GBH Feb-25,"5,069",488,9.63%,INR,1.41,689.60,82.79%,404.00,1.71
Saturday,5,GULMOHOR | SEARCH,"10,538",110,1.04%,INR,3.41,374.86,0.00%,0.00,0.00
Friday,9,Performance Max I GBH Feb-25,"2,691",250,9.29%,INR,1.44,360.41,79.60%,199.00,1.81
Sunday,17,GULMOHOR | GMB,"81,789",662,0.81%,INR,2.76,1828.47,25.68%,170.00,10.76
Saturday,11,Search campaign| wedding | Munj| Dec-25,130,27,20.77%,INR,0.83,22.40,118.52%,32.00,0.70
Monday,9,Performance Max I GBH Feb-25,"2,014",184,9.14%,INR,0.91,166.62,78.26%,144.00,1.16
Sunday,7,Performance Max I GBH Feb-25,"1,287",146,11.34%,INR,1.39,202.87,71.92%,105.00,1.93
Tuesday,14,Search campaign| wedding | Munj| Dec-25,108,22,20.37%,INR,1.33,29.17,95.45%,21.00,1.39
Monday,0,Performance Max I GBH Feb-25,286,22,7.69%,INR,15.61,343.44,81.82%,18.00,19.08
Monday,0,GULMOHOR | SEARCH,"51,651",389,0.75%,INR,3.24,1259.86,0.00%,0.00,0.00
Thursday,3,GULMOHOR | GMB,"6,336",45,0.71%,INR,2.80,126.06,17.78%,8.00,15.76
Thursday,13,GULMOHOR | SEARCH,"18,411",405,2.20%,INR,9.54,3863.52,5.43%,22.00,175.61
Friday,13,Search campaign| wedding | Munj| Dec-25,66,14,21.21%,INR,0.56,7.79,128.57%,18.00,0.43
Thursday,23,GULMOHOR | SEARCH,"3,305",53,1.60%,INR,1.98,105.05,0.00%,0.00,0.00
Tuesday,7,Search campaign| wedding | Munj| Dec-25,22,2,9.09%,INR,0.44,0.87,100.00%,2.00,0.44
Thursday,18,Performance Max I GBH Feb-25,"4,537",373,8.22%,INR,1.55,577.04,80.70%,301.00,1.92
Wednesday,8,GULMOHOR | GMB,"71,214",481,0.68%,INR,2.32,1114.51,13.58%,65.33,17.06
Wednesday,9,GULMOHOR | SEARCH,"23,273",361,1.55%,INR,6.14,2217.17,4.16%,15.00,147.81
Tuesday,6,Performance Max I GBH Feb-25,217,8,3.69%,INR,2.35,18.77,100.00%,8.00,2.35
Sunday,23,Performance Max I GBH Feb-25,343,17,4.96%,INR,1.77,30.01,64.71%,11.00,2.73
Tuesday,2,Search campaign| wedding | Munj| Dec-25,3,1,33.33%,INR,0.46,0.46,200.00%,2.00,0.23
Sunday,22,Performance Max I GBH Feb-25,"1,434",142,9.90%,INR,1.02,145.15,58.45%,83.00,1.75
Wednesday,5,Search campaign| wedding | Munj| Dec-25,10,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Tuesday,3,Search campaign| wedding | Munj| Dec-25,4,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Monday,15,GULMOHOR | GMB,"79,631",576,0.72%,INR,2.74,1578.04,18.06%,104.00,15.17
Thursday,5,Search campaign| wedding | Munj| Dec-25,6,3,50.00%,INR,3.95,11.84,0.00%,0.00,0.00
Saturday,8,GULMOHOR | SEARCH,"33,575",406,1.21%,INR,5.69,2311.32,4.93%,20.00,115.57
Tuesday,20,GULMOHOR | GMB,"64,333",494,0.77%,INR,2.74,1351.56,20.04%,99.00,13.65
Saturday,20,Performance Max I GBH Feb-25,"3,390",362,10.68%,INR,0.83,301.40,78.45%,284.00,1.06
Saturday,18,GULMOHOR | GMB,"78,121",549,0.70%,INR,2.74,1503.91,22.22%,122.00,12.33
Monday,11,GULMOHOR | GMB,"88,612",716,0.81%,INR,2.50,1792.20,23.18%,166.00,10.80
Friday,22,Performance Max I GBH Feb-25,"1,845",118,6.40%,INR,0.85,99.85,52.54%,62.00,1.61
Sunday,3,Performance Max I GBH Feb-25,78,5,6.41%,INR,4.86,24.29,0.00%,0.00,0.00
Tuesday,10,Search campaign| wedding | Munj| Dec-25,64,18,28.13%,INR,0.85,15.27,72.22%,13.00,1.17
Saturday,6,Search campaign| wedding | Munj| Dec-25,6,2,33.33%,INR,1.54,3.07,50.00%,1.00,3.07
